scenario,seed,role,count,earned_per_actor,spent_per_actor,net_per_actor,kills_per_actor,deaths_per_actor,revives_per_actor,delivered_players_per_actor,zone_seconds_per_actor
balanced,42,transport,6,39506.6666666667,5450.0,34056.6666666667,0.0,0.0,0.0,200.166666666667,1257.5
balanced,42,engineer,9,36042.2222222222,44011.1111111111,-7968.88888888889,5.88888888888889,23.7777777777778,0.0,0.0,3607.44444444444
balanced,42,assault,37,34166.2162162162,17254.0540540541,16912.1621621622,6.08108108108108,23.7567567567568,0.0,0.0,3388.67567567568
balanced,42,medic,15,71269.3333333333,11520.0,59749.3333333333,15.5333333333333,18.2,47.9333333333333,0.0,4130.73333333333
balanced,42,armor,6,167181.666666667,123400.0,43781.6666666667,78.6666666666667,25.1666666666667,0.0,0.0,3730.0
balanced,42,sniper,12,154535.0,13741.6666666667,140793.333333333,71.5833333333333,15.1666666666667,0.0,0.0,4627.5
balanced,42,opportunist,15,49200.0,9833.33333333333,39366.6666666667,9.2,18.7333333333333,15.7333333333333,0.0,3899.06666666667
profit,42,transport,6,32008.3333333333,5450.0,26558.3333333333,0.0,0.0,0.0,151.5,1257.83333333333
profit,42,engineer,3,33630.0,42033.3333333333,-8403.33333333333,4.0,24.6666666666667,0.0,0.0,3836.0
profit,42,assault,13,39113.8461538462,17823.0769230769,21290.7692307692,7.53846153846154,24.4615384615385,0.0,0.0,3915.07692307692
profit,42,medic,12,66455.0,12550.0,53905.0,14.8333333333333,19.9166666666667,30.4166666666667,0.0,4262.66666666667
profit,42,opportunist,63,71014.2857142857,8595.2380952381,62419.0476190476,19.1428571428571,16.2698412698413,18.3333333333333,0.0,4541.11111111111
profit,42,sniper,3,150716.666666667,13316.6666666667,137400.0,68.6666666666667,14.6666666666667,0.0,0.0,5115.33333333333
coordinated,42,transport,7,22045.7142857143,5271.42857142857,16774.2857142857,0.0,0.0,0.0,105.857142857143,823.571428571429
coordinated,42,engineer,9,22097.7777777778,27688.8888888889,-5591.11111111111,3.55555555555556,13.0,0.0,0.0,2221.0
coordinated,42,assault,41,20832.1951219512,11251.2195121951,9580.9756097561,2.85365853658537,15.1219512195122,0.0,0.0,2276.09756097561
coordinated,42,medic,16,44205.0,7762.5,36442.5,9.625,11.9375,30.3125,0.0,2536.1875
coordinated,42,armor,7,158888.571428571,58828.5714285714,100060.0,67.2857142857143,13.5714285714286,0.0,0.0,2613.85714285714
coordinated,42,sniper,10,92882.0,9775.0,83107.0,42.5,10.5,0.0,0.0,2789.6
coordinated,42,opportunist,10,29552.0,7000.0,22552.0,5.9,13.0,17.5,0.0,2110.2
balanced,43,transport,6,45220.0,5450.0,39770.0,0.0,0.0,0.0,228.5,1462.66666666667
balanced,43,engineer,9,44905.5555555556,53511.1111111111,-8605.55555555555,8.77777777777778,27.5555555555556,0.0,0.0,4229.44444444444
balanced,43,assault,37,38982.972972973,20091.8918918919,18891.0810810811,6.59459459459459,27.7297297297297,0.0,0.0,3966.97297297297
balanced,43,medic,15,73555.3333333333,14080.0,59475.3333333333,12.7333333333333,22.4666666666667,51.3333333333333,0.0,4705.73333333333
balanced,43,armor,6,224113.333333333,154550.0,69563.3333333333,110.666666666667,28.5,0.0,0.0,4294.33333333333
balanced,43,sniper,12,179410.0,16929.1666666667,162480.833333333,82.8333333333333,18.9166666666667,0.0,0.0,5500.91666666667
